
TRACE LEVEL = 2
   2.04s TraceLog.cpp  214: Command line: ""
   2.06s main.cpp      535: LMU-Retail:1.2000 UTC=1dc9932fbbe8c40 SteamBuild=21529259 SteamUser=76561199219013560 LogGUID={8B758CC8-9D57-43EC-8F2F-29EB0209CFE4} Machine=7d7646c0094ff3c7
   2.06s main.cpp      538: Hardware info: CPU: "12th Gen Intel(R) Core(TM) i5-12400F" 12 cores Memory: virtual: 42328MB physical: 32600MB
   2.06s main.cpp      954: Bugsplat initialised on branch 
   2.06s game.cpp     1464: Setting Mod Path "Packages" 1 0
   2.32s game.cpp     1776: Entered Game::Enter()
   2.32s osman.cpp     913: Entered OSMan::Enter()
   2.34s osman.cpp     972: exe is 64-bit
   2.34s plrfile.cpp  1800: Entered PlayerFile::Enter()
   2.36s ContentLoadi   90: LMU Warning : ` - Countdown ` at line 3 is a redundant key (default value is already ` - Countdown `) 
   2.36s ContentLoadi   90: LMU Warning : ` - Formation ` at line 4 is a redundant key (default value is already ` - Formation `) 
   2.36s ContentLoadi   90: LMU Warning : ` ` at line 10 is a redundant key (default value is already ` `) 
   2.36s ContentLoadi   90: LMU Warning : `% Track Default` at line 23 is a redundant key (default value is already `% Track Default`) 
   2.36s ContentLoadi   90: LMU Warning : `%` at line 26 is a redundant key (default value is already `%`) 
   2.36s ContentLoadi   90: LMU Warning : `/ping` at line 67 is a redundant key (default value is already `/ping`) 
   2.36s ContentLoadi   90: LMU Warning : `<Parc Ferme>` at line 77 is a redundant key (default value is already `<Parc Ferme>`) 
   2.36s ContentLoadi   90: LMU Warning : `0.33` at line 79 is a redundant key (default value is already `0.33`) 
   2.36s ContentLoadi   90: LMU Warning : `ADSL 8M` at line 89 is a redundant key (default value is already `ADSL 8M`) 
   2.36s ContentLoadi   90: LMU Warning : `ADSL2+ 16M` at line 90 is a redundant key (default value is already `ADSL2+ 16M`) 
   2.36s ContentLoadi   90: LMU Warning : `Algarve International Circuit` at line 97 is a redundant key (default value is already `Algarve International Circuit`) 
   2.36s ContentLoadi   90: LMU Warning : `Algarve Pro Racing #45:LM` at line 98 is a redundant key (default value is already `Algarve Pro Racing #45:LM`) 
   2.36s ContentLoadi   90: LMU Warning : `Alpine Elf Team #35:EC` at line 100 is a redundant key (default value is already `Alpine Elf Team #35:EC`) 
   2.36s ContentLoadi   90: LMU Warning : `Alpine Elf Team #35:LM` at line 101 is a redundant key (default value is already `Alpine Elf Team #35:LM`) 
   2.36s ContentLoadi   90: LMU Warning : `Alpine Elf Team #36:EC` at line 102 is a redundant key (default value is already `Alpine Elf Team #36:EC`) 
   2.36s ContentLoadi   90: LMU Warning : `Alpine Elf Team #36:LM` at line 103 is a redundant key (default value is already `Alpine Elf Team #36:LM`) 
   2.36s ContentLoadi   90: LMU Warning : `AM` at line 104 is a redundant key (default value is already `AM`) 
   2.36s ContentLoadi   90: LMU Warning : `Autodromo Nazionale Monza` at line 116 is a redundant key (default value is already `Autodromo Nazionale Monza`) 
   2.36s ContentLoadi   90: LMU Warning : `Bahrain International Circuit` at line 124 is a redundant key (default value is already `Bahrain International Circuit`) 
   2.36s ContentLoadi   90: LMU Warning : `C` at line 145 is a redundant key (default value is already `C`) 
